Business,City,Product/Service,Startup_Cost_PKR,Cost_per_Unit,Price_per_Unit,Marketing_Channel,Failure_Risk
Shawarma Stand,Karachi,Shawarma Stand,35395,36,48,Flyers,0.49
Handmade Jewelry,Multan,Handmade Jewelry,39957,77,138,Local Advertising,0.43
Veggie Juice Stand,Faisalabad,Veggie Juice Stand,7905,94,166,Word of Mouth,0.43
Stationery Kiosk,Faisalabad,Stationery Kiosk,18594,74,114,Word of Mouth,0.25
Mobile Repair Shop,Lahore,Mobile Repair Shop,17733,86,137,Word of Mouth,0.76
Fitness Trainer,Faisalabad,Fitness Trainer,44577,50,107,Flyers,0.28
Juice Bar,Lahore,Juice Bar,41956,75,169,Social Media,0.44
Mobile Accessories,Lahore,Mobile Accessories,43074,94,107,Word of Mouth,0.41
Handmade Jewelry,Faisalabad,Handmade Jewelry,28770,79,157,Local Advertising,0.18
Ice Cream Cart,Islamabad,Ice Cream Cart,49873,88,169,Flyers,0.36
Handmade Jewelry,Lahore,Handmade Jewelry,5449,65,116,Local Advertising,0.21
Ice Cream Cart,Karachi,Ice Cream Cart,24182,100,126,Flyers,0.79
Fitness Trainer,Faisalabad,Fitness Trainer,42772,14,109,Flyers,0.45
Juice Bar,Multan,Juice Bar,24358,46,137,Word of Mouth,0.71
Coffee Cart,Karachi,Coffee Cart,12443,18,96,Flyers,0.16
Local Snacks Delivery,Karachi,Local Snacks Delivery,15361,57,103,Flyers,0.64
Repair Electronics,Peshawar,Repair Electronics,8968,63,100,Flyers,0.54
Pakora Stall,Lahore,Pakora Stall,31197,15,51,Social Media,0.74
Chai Stall,Karachi,Chai Stall,15785,77,171,Word of Mouth,0.22
Online Tutoring,Multan,Online Tutoring,35794,100,119,Flyers,0.61
Dahi Bhallay Stall,Lahore,Dahi Bhallay Stall,5702,85,117,Flyers,0.35
Ice Cream Cart,Multan,Ice Cream Cart,28519,54,76,Word of Mouth,0.65
Flower Stall,Peshawar,Flower Stall,21698,5,64,Word of Mouth,0.63
Candle Stall,Islamabad,Candle Stall,34611,29,80,Social Media,0.72
Stationery Kiosk,Islamabad,Stationery Kiosk,17592,64,157,Social Media,0.32
Juice Bar,Multan,Juice Bar,47724,15,70,Word of Mouth,0.16
Dahi Bhallay Stall,Faisalabad,Dahi Bhallay Stall,10686,96,191,Word of Mouth,0.14
Veggie Juice Stand,Peshawar,Veggie Juice Stand,16882,65,90,Word of Mouth,0.55
Samosa Stall,Islamabad,Samosa Stall,44155,68,86,Word of Mouth,0.52
Flower Stall,Faisalabad,Flower Stall,5993,52,80,Word of Mouth,0.43
Chai Stall,Karachi,Chai Stall,9586,43,116,Local Advertising,0.58
Mobile Accessories,Multan,Mobile Accessories,47575,51,79,Word of Mouth,0.33
Coffee Cart,Karachi,Coffee Cart,32824,87,149,Local Advertising,0.56
Fresh Milk Seller,Multan,Fresh Milk Seller,32956,28,119,Local Advertising,0.42
Samosa Stall,Faisalabad,Samosa Stall,9204,54,97,Local Advertising,0.64
Small Tuition Center,Lahore,Small Tuition Center,39194,67,117,Word of Mouth,0.54
Bakery Stall,Faisalabad,Bakery Stall,11670,69,148,Flyers,0.48
Chai Stall,Multan,Chai Stall,45919,19,86,Flyers,0.61
Veggie Juice Stand,Karachi,Veggie Juice Stand,44733,7,86,Social Media,0.17
Mobile Repair Shop,Islamabad,Mobile Repair Shop,42967,11,85,Local Advertising,0.13
Small Tuition Center,Islamabad,Small Tuition Center,6948,11,79,Word of Mouth,0.75
Online Tutoring,Islamabad,Online Tutoring,17021,54,129,Flyers,0.4
Street Photography,Islamabad,Street Photography,7143,20,57,Flyers,0.22
Chai Stall,Peshawar,Chai Stall,19170,5,61,Word of Mouth,0.4
Stationery Shop,Peshawar,Stationery Shop,36213,81,98,Word of Mouth,0.77
Street Clothing Vendor,Multan,Street Clothing Vendor,24643,21,46,Local Advertising,0.24
Fruit Stall,Peshawar,Fruit Stall,15530,39,79,Word of Mouth,0.28
Flower Stall,Faisalabad,Flower Stall,19060,41,70,Word of Mouth,0.17
Dahi Bhallay Stall,Lahore,Dahi Bhallay Stall,11495,53,75,Local Advertising,0.64
Handmade Jewelry,Faisalabad,Handmade Jewelry,30167,63,129,Social Media,0.25
Bakery Stall,Multan,Bakery Stall,35871,10,55,Local Advertising,0.3
Coffee Cart,Islamabad,Coffee Cart,12748,83,130,Flyers,0.68
Fresh Milk Seller,Multan,Fresh Milk Seller,39316,49,138,Flyers,0.47
Chai Stall,Karachi,Chai Stall,46320,92,144,Local Advertising,0.5
Fitness Trainer,Faisalabad,Fitness Trainer,27681,86,147,Flyers,0.28
Chai Stall,Lahore,Chai Stall,41105,51,94,Word of Mouth,0.21
Shawarma Stand,Islamabad,Shawarma Stand,30130,43,130,Social Media,0.25
Fruit Smoothie Stall,Faisalabad,Fruit Smoothie Stall,35289,76,104,Word of Mouth,0.1
Online Tutoring,Lahore,Online Tutoring,24265,45,94,Social Media,0.34
Samosa Stall,Faisalabad,Samosa Stall,44830,52,67,Social Media,0.36
Bakery Stall,Lahore,Bakery Stall,36401,14,109,Word of Mouth,0.71
Chai Stall,Faisalabad,Chai Stall,25221,71,88,Local Advertising,0.39
Fitness Trainer,Karachi,Fitness Trainer,19667,98,110,Local Advertising,0.5
Fruit Smoothie Stall,Faisalabad,Fruit Smoothie Stall,33499,72,152,Social Media,0.43
Fitness Trainer,Multan,Fitness Trainer,15281,72,125,Social Media,0.31
Ice Cream Cart,Faisalabad,Ice Cream Cart,29473,18,66,Social Media,0.24
Stationery Shop,Islamabad,Stationery Shop,39110,60,118,Social Media,0.77
Fruit Stall,Peshawar,Fruit Stall,23543,39,56,Social Media,0.77
Stationery Kiosk,Peshawar,Stationery Kiosk,26252,86,180,Social Media,0.59
Mini Grocery,Multan,Mini Grocery,10383,66,91,Word of Mouth,0.58
Online Tutoring,Multan,Online Tutoring,6250,54,146,Word of Mouth,0.19
Fruit Smoothie Stall,Faisalabad,Fruit Smoothie Stall,10623,7,41,Word of Mouth,0.13
Online Tutoring,Lahore,Online Tutoring,21685,81,111,Local Advertising,0.4
Pakora Stall,Islamabad,Pakora Stall,15176,19,97,Local Advertising,0.77
Local Snacks Delivery,Islamabad,Local Snacks Delivery,41969,31,42,Social Media,0.64
Ice Cream Cart,Multan,Ice Cream Cart,38957,53,93,Flyers,0.7
Tea & Snacks Stall,Karachi,Tea & Snacks Stall,17710,22,34,Flyers,0.63
Small Tuition Center,Faisalabad,Small Tuition Center,26245,85,142,Flyers,0.69
Mini Grocery,Faisalabad,Mini Grocery,15340,45,75,Word of Mouth,0.49
Coffee Cart,Karachi,Coffee Cart,43094,58,110,Flyers,0.73
Ice Cream Cart,Lahore,Ice Cream Cart,46667,70,168,Flyers,0.42
Mobile Repair Shop,Faisalabad,Mobile Repair Shop,13228,35,120,Social Media,0.13
Local Snacks Delivery,Peshawar,Local Snacks Delivery,20388,74,146,Local Advertising,0.74
Candle Stall,Multan,Candle Stall,29226,37,87,Flyers,0.52
Dahi Bhallay Stall,Islamabad,Dahi Bhallay Stall,21694,8,66,Local Advertising,0.73
Street Clothing Vendor,Lahore,Street Clothing Vendor,17393,82,157,Word of Mouth,0.29
Fresh Milk Seller,Peshawar,Fresh Milk Seller,13997,19,82,Social Media,0.73
Street Photography,Karachi,Street Photography,49911,98,127,Local Advertising,0.58
Veggie Juice Stand,Karachi,Veggie Juice Stand,10340,36,104,Local Advertising,0.58
Street Photography,Lahore,Street Photography,45280,55,130,Word of Mouth,0.49
Laundry Shop,Peshawar,Laundry Shop,9064,56,111,Local Advertising,0.78
Samosa Stall,Peshawar,Samosa Stall,15906,57,133,Local Advertising,0.1
Fruit Smoothie Stall,Karachi,Fruit Smoothie Stall,45816,96,169,Social Media,0.4
Flower Stall,Faisalabad,Flower Stall,21348,91,157,Word of Mouth,0.58
Stationery Kiosk,Islamabad,Stationery Kiosk,35620,82,93,Word of Mouth,0.56
Mobile Repair Shop,Lahore,Mobile Repair Shop,46023,78,166,Local Advertising,0.67
Fruit Stall,Faisalabad,Fruit Stall,34066,89,130,Flyers,0.43
Handmade Jewelry,Islamabad,Handmade Jewelry,40660,6,32,Local Advertising,0.53
Fruit Stall,Islamabad,Fruit Stall,48806,56,103,Social Media,0.5
Mobile Accessories,Peshawar,Mobile Accessories,14387,69,92,Flyers,0.69
Veggie Juice Stand,Lahore,Veggie Juice Stand,46663,29,107,Flyers,0.77
Ice Cream Cart,Islamabad,Ice Cream Cart,19634,39,134,Flyers,0.48
Ice Cream Cart,Faisalabad,Ice Cream Cart,30784,25,85,Word of Mouth,0.6
Pakora Stall,Peshawar,Pakora Stall,10687,37,131,Local Advertising,0.4
Fresh Milk Seller,Multan,Fresh Milk Seller,29186,53,130,Flyers,0.77
Mobile Accessories,Peshawar,Mobile Accessories,39584,7,86,Word of Mouth,0.33
Candle Stall,Multan,Candle Stall,36426,14,54,Flyers,0.45
Small Tuition Center,Faisalabad,Small Tuition Center,47862,97,149,Local Advertising,0.52
Coffee Cart,Islamabad,Coffee Cart,33686,57,97,Social Media,0.37
Online Tutoring,Multan,Online Tutoring,25292,71,89,Social Media,0.67
Fresh Milk Seller,Islamabad,Fresh Milk Seller,11588,90,166,Social Media,0.15
Chai Stall,Karachi,Chai Stall,25215,72,143,Local Advertising,0.33
Street Photography,Peshawar,Street Photography,31802,93,135,Flyers,0.16
Candle Stall,Lahore,Candle Stall,32930,24,115,Word of Mouth,0.43
Mobile Accessories,Islamabad,Mobile Accessories,32571,15,90,Word of Mouth,0.48
Online Tutoring,Islamabad,Online Tutoring,14646,31,42,Flyers,0.67
Coffee Cart,Karachi,Coffee Cart,40203,57,101,Local Advertising,0.77
Coffee Cart,Multan,Coffee Cart,5141,58,123,Local Advertising,0.32
Samosa Stall,Faisalabad,Samosa Stall,15875,33,72,Local Advertising,0.18
Tea & Snacks Stall,Lahore,Tea & Snacks Stall,36887,21,37,Word of Mouth,0.23
Repair Electronics,Islamabad,Repair Electronics,24214,35,134,Social Media,0.73
Mini Grocery,Multan,Mini Grocery,25478,69,90,Local Advertising,0.22
Fresh Milk Seller,Islamabad,Fresh Milk Seller,12561,95,149,Word of Mouth,0.2
Pakora Stall,Peshawar,Pakora Stall,25951,83,152,Social Media,0.31
Small Tuition Center,Faisalabad,Small Tuition Center,48880,96,171,Local Advertising,0.43
Chai Stall,Lahore,Chai Stall,31436,52,86,Word of Mouth,0.67
Samosa Stall,Islamabad,Samosa Stall,17838,44,71,Local Advertising,0.74
Candle Stall,Islamabad,Candle Stall,40181,97,110,Word of Mouth,0.48
Repair Electronics,Lahore,Repair Electronics,33958,46,146,Social Media,0.34
Chai Stall,Peshawar,Chai Stall,11179,93,115,Flyers,0.44
Laundry Shop,Karachi,Laundry Shop,9434,55,147,Word of Mouth,0.28
Stationery Shop,Faisalabad,Stationery Shop,6849,7,82,Social Media,0.7
Juice Bar,Faisalabad,Juice Bar,8044,35,72,Social Media,0.64
Fruit Smoothie Stall,Karachi,Fruit Smoothie Stall,36777,54,65,Word of Mouth,0.34
Samosa Stall,Karachi,Samosa Stall,45179,18,107,Word of Mouth,0.68
Stationery Kiosk,Lahore,Stationery Kiosk,36255,82,104,Social Media,0.25
Fresh Milk Seller,Islamabad,Fresh Milk Seller,48360,24,56,Flyers,0.29
Pakora Stall,Multan,Pakora Stall,26538,39,68,Local Advertising,0.22
Samosa Stall,Lahore,Samosa Stall,32547,78,91,Social Media,0.44
Fresh Milk Seller,Lahore,Fresh Milk Seller,21336,55,112,Flyers,0.19
Mobile Accessories,Lahore,Mobile Accessories,21864,17,61,Local Advertising,0.65
Repair Electronics,Karachi,Repair Electronics,45987,43,107,Word of Mouth,0.25
Local Snacks Delivery,Multan,Local Snacks Delivery,18733,25,68,Flyers,0.4
Ice Cream Cart,Multan,Ice Cream Cart,14922,96,106,Social Media,0.33
Chai Stall,Lahore,Chai Stall,8329,44,69,Word of Mouth,0.19
Candle Stall,Peshawar,Candle Stall,37383,34,80,Flyers,0.21
Pakora Stall,Faisalabad,Pakora Stall,39731,61,111,Flyers,0.19
Shawarma Stand,Lahore,Shawarma Stand,17883,88,143,Word of Mouth,0.27
Juice Bar,Lahore,Juice Bar,34098,41,130,Social Media,0.11
Stationery Shop,Islamabad,Stationery Shop,33817,91,119,Local Advertising,0.67
Street Clothing Vendor,Peshawar,Street Clothing Vendor,40970,44,70,Word of Mouth,0.65
Candle Stall,Peshawar,Candle Stall,26382,96,125,Social Media,0.18
Stationery Kiosk,Faisalabad,Stationery Kiosk,16335,55,96,Word of Mouth,0.24
Pakora Stall,Karachi,Pakora Stall,49993,33,69,Flyers,0.38
Laundry Shop,Faisalabad,Laundry Shop,12798,28,88,Social Media,0.56
Repair Electronics,Peshawar,Repair Electronics,5779,44,91,Flyers,0.52
Bakery Stall,Islamabad,Bakery Stall,30697,10,20,Flyers,0.71
Ice Cream Cart,Lahore,Ice Cream Cart,32763,15,70,Social Media,0.8
Online Tutoring,Multan,Online Tutoring,27641,6,74,Local Advertising,0.17
Small Tuition Center,Karachi,Small Tuition Center,31507,94,147,Flyers,0.64
Pakora Stall,Islamabad,Pakora Stall,6279,64,151,Flyers,0.51
Fitness Trainer,Lahore,Fitness Trainer,11777,71,96,Social Media,0.61
Candle Stall,Peshawar,Candle Stall,29742,36,69,Flyers,0.52
Fruit Smoothie Stall,Multan,Fruit Smoothie Stall,17931,72,144,Social Media,0.12
Flower Stall,Lahore,Flower Stall,24626,88,135,Social Media,0.11
Juice Bar,Faisalabad,Juice Bar,42278,67,89,Local Advertising,0.6
Veggie Juice Stand,Peshawar,Veggie Juice Stand,37131,43,114,Social Media,0.49
Chai Stall,Islamabad,Chai Stall,42892,56,122,Social Media,0.68
Bakery Stall,Lahore,Bakery Stall,20283,52,104,Flyers,0.4
Juice Bar,Multan,Juice Bar,28498,79,133,Social Media,0.39
Street Photography,Lahore,Street Photography,17920,13,49,Flyers,0.18
Fruit Stall,Islamabad,Fruit Stall,19288,23,34,Social Media,0.77
Mini Grocery,Peshawar,Mini Grocery,32194,35,78,Word of Mouth,0.72
Laundry Shop,Lahore,Laundry Shop,28864,55,113,Social Media,0.25
Local Snacks Delivery,Karachi,Local Snacks Delivery,34438,43,63,Flyers,0.26
Candle Stall,Multan,Candle Stall,49878,16,90,Flyers,0.13
Shawarma Stand,Karachi,Shawarma Stand,20290,98,163,Social Media,0.52
Handmade Jewelry,Faisalabad,Handmade Jewelry,29857,68,163,Word of Mouth,0.79
Local Snacks Delivery,Karachi,Local Snacks Delivery,47892,40,76,Flyers,0.54
Veggie Juice Stand,Lahore,Veggie Juice Stand,30677,23,69,Word of Mouth,0.12
Fresh Milk Seller,Multan,Fresh Milk Seller,13413,92,181,Word of Mouth,0.16
Fruit Stall,Lahore,Fruit Stall,18185,58,158,Flyers,0.66
Fruit Smoothie Stall,Lahore,Fruit Smoothie Stall,27017,12,29,Word of Mouth,0.5
Laundry Shop,Faisalabad,Laundry Shop,33521,54,121,Flyers,0.48
Dahi Bhallay Stall,Multan,Dahi Bhallay Stall,16965,100,168,Social Media,0.57
Shawarma Stand,Lahore,Shawarma Stand,9940,65,78,Word of Mouth,0.16
Fitness Trainer,Multan,Fitness Trainer,32997,85,159,Social Media,0.25
Pakora Stall,Lahore,Pakora Stall,8351,45,97,Flyers,0.52
Mini Grocery,Islamabad,Mini Grocery,40231,15,39,Word of Mouth,0.51
Fruit Smoothie Stall,Lahore,Fruit Smoothie Stall,20949,78,107,Word of Mouth,0.55
Dahi Bhallay Stall,Multan,Dahi Bhallay Stall,48216,91,184,Word of Mouth,0.64
Handmade Jewelry,Karachi,Handmade Jewelry,15288,82,99,Social Media,0.35
Repair Electronics,Multan,Repair Electronics,29998,94,148,Flyers,0.8
Fresh Milk Seller,Multan,Fresh Milk Seller,48940,12,93,Social Media,0.43
Local Snacks Delivery,Multan,Local Snacks Delivery,44089,83,103,Social Media,0.24
Small Tuition Center,Peshawar,Small Tuition Center,42009,89,109,Local Advertising,0.17
Tea & Snacks Stall,Karachi,Tea & Snacks Stall,20487,40,115,Social Media,0.18
Street Photography,Karachi,Street Photography,46787,72,114,Social Media,0.8
Pakora Stall,Lahore,Pakora Stall,10007,33,95,Word of Mouth,0.7
Mobile Accessories,Multan,Mobile Accessories,47558,94,192,Word of Mouth,0.5
Mobile Accessories,Islamabad,Mobile Accessories,21503,46,121,Social Media,0.22
Flower Stall,Peshawar,Flower Stall,22023,24,48,Social Media,0.59
Repair Electronics,Multan,Repair Electronics,15150,15,100,Word of Mouth,0.43
Ice Cream Cart,Peshawar,Ice Cream Cart,32039,31,113,Word of Mouth,0.19
Fresh Milk Seller,Peshawar,Fresh Milk Seller,30372,57,77,Social Media,0.36
Coffee Cart,Islamabad,Coffee Cart,8757,86,162,Social Media,0.73
Chai Stall,Lahore,Chai Stall,30459,99,124,Local Advertising,0.39
Handmade Jewelry,Peshawar,Handmade Jewelry,48889,94,190,Social Media,0.63
Fruit Stall,Peshawar,Fruit Stall,10082,75,171,Word of Mouth,0.15
Shawarma Stand,Islamabad,Shawarma Stand,36515,23,52,Flyers,0.44
Street Photography,Lahore,Street Photography,41741,84,127,Local Advertising,0.33
Veggie Juice Stand,Islamabad,Veggie Juice Stand,19537,59,92,Word of Mouth,0.25
Dahi Bhallay Stall,Faisalabad,Dahi Bhallay Stall,18317,11,41,Word of Mouth,0.38
Stationery Shop,Multan,Stationery Shop,25600,59,106,Word of Mouth,0.52
Flower Stall,Faisalabad,Flower Stall,32915,41,76,Social Media,0.69
Candle Stall,Faisalabad,Candle Stall,16112,27,60,Social Media,0.39
Online Tutoring,Faisalabad,Online Tutoring,47593,17,97,Local Advertising,0.52
Mobile Accessories,Peshawar,Mobile Accessories,11627,44,139,Local Advertising,0.58
Juice Bar,Multan,Juice Bar,47981,59,130,Word of Mouth,0.57
Stationery Kiosk,Peshawar,Stationery Kiosk,19843,6,34,Word of Mouth,0.8
Online Tutoring,Karachi,Online Tutoring,25710,60,153,Social Media,0.52
Fresh Milk Seller,Lahore,Fresh Milk Seller,20701,55,94,Social Media,0.73
Flower Stall,Lahore,Flower Stall,27556,98,127,Social Media,0.46
Bakery Stall,Peshawar,Bakery Stall,20247,24,60,Flyers,0.53
Candle Stall,Karachi,Candle Stall,24095,68,139,Local Advertising,0.22
Tea & Snacks Stall,Islamabad,Tea & Snacks Stall,6697,53,88,Word of Mouth,0.61
Handmade Jewelry,Peshawar,Handmade Jewelry,32635,52,152,Local Advertising,0.62
Bakery Stall,Multan,Bakery Stall,43225,79,90,Flyers,0.37
Chai Stall,Multan,Chai Stall,37796,87,169,Social Media,0.46
Juice Bar,Islamabad,Juice Bar,13395,47,57,Local Advertising,0.38
Veggie Juice Stand,Multan,Veggie Juice Stand,16682,63,108,Local Advertising,0.74
Samosa Stall,Multan,Samosa Stall,7470,32,127,Flyers,0.53
Stationery Shop,Lahore,Stationery Shop,28416,61,159,Social Media,0.43
Small Tuition Center,Faisalabad,Small Tuition Center,19370,12,91,Local Advertising,0.34
Laundry Shop,Faisalabad,Laundry Shop,38989,77,152,Social Media,0.79
Samosa Stall,Peshawar,Samosa Stall,8275,47,62,Word of Mouth,0.4
Fruit Smoothie Stall,Faisalabad,Fruit Smoothie Stall,17288,40,93,Local Advertising,0.29
Pakora Stall,Lahore,Pakora Stall,40402,99,172,Word of Mouth,0.46
Stationery Shop,Multan,Stationery Shop,10718,63,83,Flyers,0.38
Flower Stall,Lahore,Flower Stall,19781,84,124,Flyers,0.61
Tea & Snacks Stall,Multan,Tea & Snacks Stall,12056,36,92,Local Advertising,0.54
Stationery Kiosk,Multan,Stationery Kiosk,8851,87,150,Social Media,0.77
Laundry Shop,Faisalabad,Laundry Shop,17001,87,114,Social Media,0.71
Handmade Jewelry,Faisalabad,Handmade Jewelry,34452,90,122,Social Media,0.75
Street Clothing Vendor,Peshawar,Street Clothing Vendor,31690,29,100,Word of Mouth,0.51
Veggie Juice Stand,Islamabad,Veggie Juice Stand,40450,57,145,Word of Mouth,0.63
Small Tuition Center,Multan,Small Tuition Center,49327,11,66,Flyers,0.18
Shawarma Stand,Multan,Shawarma Stand,8529,53,67,Flyers,0.75
Tea & Snacks Stall,Karachi,Tea & Snacks Stall,21669,100,164,Social Media,0.7
Laundry Shop,Peshawar,Laundry Shop,11790,15,66,Word of Mouth,0.73
